name,neighborhood,address,url,is_nyc
b'Vai Restaurant',b'Upper West Side',"b'429 Amsterdam,New York, NY  10024'",b'vai-restaurant-manhattan?scpref=107',b'True'
b'Uskudar Turkish Restaurant',b'Upper East Side',"b'1405 Second Ave,New York, NY  10021'",b'uskudar-turkish-restaurant?scpref=107',b'True'
b'Urban Plum',b'Secaucus',"b'300 Plaza Drive,Secaucus, NJ  07094'",b'urban-plum?scpref=107',b'False'
"b""Van Diemen's""",b'Murray Hill',"b'383 Third Avenue,New York, NY  10016'",b'van-diemens?scpref=107',b'True'
b'Untitled',b'Upper East Side',"b'945 Madison Avenue, downstairs at the Whitney Museum of American Art,New York, NY  10021'",b'untitled?scpref=107',b'True'
b'Uptown Lounge',b'Upper East Side',"b'1576 3rd Ave.,New York, NY  10128'",b'uptown-lounge?scpref=107',b'True'
b'UpRoot Restaurant',b'Warren',"b'9 Mt. Bethel Road,Warren, NJ  07059'",b'uproot-restaurant?scpref=107',b'False'
b'Union League Cafe',b'New Haven',"b'1032 Chapel Street,New Haven, CT  06510'",b'union-league-cafe?scpref=107',b'False'
b'Union Square Cafe',b'Union Square',"b'21 East 16th St.,New York, NY  10003'",b'union-square-cafe?scpref=107',b'True'
b'Undici',b'Rumson',"b'11 West River Road,Rumson, NJ  07760'",b'undici?scpref=107',b'False'
b'Underhills Crossing Restaurant',b'Bronxville',"b'74.5 Pondfield Road,Bronxville, NY  10708'",b'underhills-crossing-restaurant?scpref=107',b'False'
"b""Uncle Peter's""",b'Jackson Heights',"b'83-15 Northern Blvd,Jackson Heights, NY  11372'",b'uncle-peters?scpref=107',b'True'
"b""Uncle Nick's Greek Cuisine - Chelsea""",b'Chelsea',"b'382 8th Avenue,New York, NY  10001'",b'uncle-nicks-greek-cuisine-chelsea?scpref=107',b'True'
"b""Uncle Jack's Steakhouse - Westside 9th Avenue""",b'Midtown West',"b'440 9th Avenue,New York, NY  10001'",b'uncle-jacks-steakhouse-westside-9th-avenue?scpref=107',b'True'
"b""Uncle Nick's Greek Cuisine - Hell's Kitchen""",b'Midtown West',"b'747 9th Avenue,New York, NY  10019'",b'uncle-nicks-greek-cuisine-hells-kitchen?scpref=107',b'True'
"b""Uncle Jack's Steakhouse - Midtown 56th Street""",b'Midtown West',"b'44 West 56th Street,New York, NY  10019'",b'uncle-jacks-steakhouse-midtown-56th-street?scpref=107',b'True'
"b""Umberto's Restaurant - Wantagh""",b'Wantagh',"b'1180 Wantagh Ave.,Wantagh, NY  11793'",b'umbertos-restaurant-wantagh?scpref=107',b'False'
"b""Uncle Jack's Steakhouse - Bayside""",b'Bayside',"b'39-40 Bell Blvd.,Queens, NY  11360'",b'uncle-jacks-steakhouse-bayside?scpref=107',b'True'
b'Ugly Kitchen',b'East Village',"b'103 1st Avenue,New York, NY  10003'",b'ugly-kitchen?scpref=107',b'True'
b'U Cafe',b'Carnegie Hill',"b'1436 Lexington Avenue,New York, NY  10128'",b'u-cafe?scpref=107',b'True'
b'Tuscan Oven Trattoria',b'Norwalk',"b'544 Main Avenue,Norwalk, CT  06851'",b'tuscan-oven-trattoria?scpref=107',b'False'
