name,id
"EXTRA PLACE",1872
"FABBRICA",1875
"FABIO CUCINA ITALIANA",1876
"FABIO PICCOLO FIORE",1877
"FACES AND NAMES",1878
"FADA BISTRO",1879
"FAGIOLINI HOUSE OF LASAGNA",1880
"FAGIOLINI ON 40TH",1881
"FAGIOLINI RESTAURANT",1882
"FALANSAI",1886
"FAMILY RECIPE",1887
"FARAFINA CAFE & LOUNGE",1890
"FARINELLA BAKERY PIZZA",1891
"FASHION FORTY LOUNGE",1897
"FAT GOOSE",1899
"FATTA CUCKOO",1900
"FATTY CRAB",1901
"FATTY CUE",1902
"FATTY FISH",1903
"FAVELA GRILL",1906
"FC GOTHAM",1907
"FEAST",1908
"FEILE",1909
"FELICE 15 GOLD STREET",1911
"FELICE 83",1912
"FELIDIA",1913
"FELIX",1914
"FIAT CAFE",1923
"FIG & OLIVE",1925
"FIG & OLIVE FIFTH AVENUE",1926
"FIG & OLIVE MEATPACKING",1927
"FIG & OLIVE UPTOWN",1928
"FIGARO BISTRO GRILL",1930
"FIGARO VILLAGGIO",1931
"FINESTRA",1934
"FINO WALL STREET",1935
"FIORINI",1936
"FIREBIRD RESTAURANT",1942
"FIRENZE",1945
"FIRESIDE",1946
"FISH TAG",1950
"FIVE POINTS",1952
"FIVES RESTAURANT",1953
"FLATIRON HALL",1956
"FLEMINGS PRIME STEAKHOUSE & WINE BAR",1957
"FLEMINGS STEAKHOUSE",1960
"FLEX MUSSELS",1961
"FLINDERS LANE",1962
"FLO LOUNGE RESTAURANT",1964
"FLORIAN CAFE",1967
"FOGO DE CHAO BRAZILIAN STEAKHOUSE",1973
"FONDA",1974
"FONDA CHELSEA",1975
"FORAGERS CITY TABLE",1976
"FORCELLA BOWERY",1978
"FORCELLA BROOKLYN",1979
"FORCELLA PARK AVE",1980
"FORTY FOUR",1989
"FORTY2WEST ITALIAN BAR & CHOPHOUSE (FKA AJ MAXWELLS STEAKHOUSE)",1990
"FRANCOS METRO RESTAURANT & BAR",1996
"FRANK RESTAURANT",1999
"FRANKS TRATTORIA",2001
"FRANKIE & JOHNNIES STEAKHOUSE",2004
"FRANKIES 570 SPUNTINO",2005
"FRATELLI BRICK OVEN PIZZA & WINE BAR",2006
"FRATELLI LA BUFALA",2007
"FRAUNCES TAVERN",2010
"FREDS",2012
"FREEMANS",2014
"FRENCH LOUIE",2015
"FRERE DE LYS",2017
"FRESCO BY SCOTTO",2018
"FRIEND OF A FARMER",2024
"FRITTERING AWAY",2027
"FUJI SUSHI",2030
"FUJIYAMA",2031
"FULTON",2032
"FUSHA EAST",2035
"FUSHA WEST",2036
"FUSHIMI",2037
"FUSIA ASIAN CUISINE",2038
"GW GRILL",2042
"GABRIELS BAR & RESTAURANT",2044
"GABRIELAS",2045
"GABY RESTAURANT",2049
"GALLAGHERS",2051
"GALLAGHERS STEAK HOUSE",2052
"GALLAGHERS STEAKHOUSE",2053
"GALLI",2055
"GALLI RESTAURANT",2056
"GALLI RESTAURANT SOHO",2057
"GALLO NERO",2058
"GALLO NERO II",2059
"GALLO RISTORANTE",2060
"GALLOW GREEN",2063
"GALLOW GREEN & THE HEATH",2064
"GAONNURI",2068
"GARI",2072
"GASTROMARKET",2075
"GATO",2076
